,isrm
1626,2598
1627,2599
1628,2600
1629,2601
1630,2602
1631,2603
1632,2604
1633,2605
1634,2606
1635,2607
1636,2608
1637,2609
1638,2610
1639,2611
1640,2612
1641,2613
1642,2614
1643,2615
1644,2616
1645,2617
1646,2618
1647,2619
1648,2620
1649,2621
1650,2622
1651,2623
1652,2624
1653,2625
1654,2626
1655,2627
1656,2628
1657,2629
1658,2630
1659,2631
1660,2632
1661,2633
1662,2634
1663,2635
1664,2636
1665,2637
1666,2638
1667,2639
1668,2640
1669,2641
1670,2642
1671,2643
1672,2644
1673,2645
1674,2646
1675,2647
1676,2648
1677,2649
1678,2650
1679,2651
1680,2652
1681,2653
1682,2654
1683,2655
1684,2656
1685,2657
1686,2658
1687,2659
1688,2660
1689,2661
1690,2662
1691,2663
1692,2664
1693,2665
1694,2666
1695,2667
1696,2668
1697,2669
1698,2670
1699,2671
1700,2672
1701,2673
1702,2674
1703,2675
1704,2676
1705,2677
1706,2678
1707,2679
1708,2680
1709,2681
1710,2682
1711,2683
1712,2684
1713,2685
1714,2686
1715,2687
1716,2688
1717,2689
1718,2690
1719,2691
1720,2692
1721,2693
1722,2694
1723,2695
1724,2696
1725,2697
1726,2698
1727,2699
1728,2700
1729,2701
1730,2702
1731,2703
1732,2704
1733,2705
1734,2706
1735,2707
1736,2708
1737,2709
1738,2710
1739,2711
1740,2712
1741,2713
1742,2714
1743,2715
1744,2716
1745,2717
1746,2718
1747,2719
1748,2720
1749,2721
1750,2722
1751,2723
1752,2724
1753,2725
1754,2726
1755,2727
1756,2728
1757,2729
1758,2730
1759,2731
1760,2732
1761,2733
1762,2734
1763,2735
1764,2736
1765,2737
1766,2738
1767,2739
1768,2740
1769,2741
1770,2742
1771,2743
1772,2744
1773,2745
1774,2746
1775,2747
1776,2748
1777,2749
1778,2750
1779,2751
1780,2752
1781,2753
1782,2754
1783,2755
1784,2756
1785,2757
1786,2758
1787,2759
1788,2760
1789,2761
1790,2762
1791,2763
1792,2764
1793,2765
1794,2766
1795,2767
1796,2768
1797,2769
1798,2770
1799,2771
1800,2772
1801,2773
1802,2774
1803,2775
1804,2776
1805,2777
1806,2778
1807,2779
1808,2780
1809,2781
1810,2782
1811,2783
1812,2784
1813,2785
1814,2786
1815,2787
1816,2788
1817,2789
1818,2790
1819,2791
1820,2792
1821,2793
1822,2794
1823,2795
1824,2796
1825,2797
1826,2798
1827,2799
1828,2800
1829,2801
1830,2802
1831,2803
1832,2804
1833,2805
1834,2806
1835,2807
1836,2808
1837,2809
1838,2810
1839,2811
1840,2812
1841,2813
1842,2814
1843,2815
1844,2816
1845,2817
1846,2818
1847,2819
1848,2820
1849,2821
1850,2822
1851,2823
1852,2824
1853,2825
1854,2826
1855,2827
1856,2828
1857,2829
1858,2830
1859,2831
1860,2832
1861,2833
1862,2834
1863,2835
1864,2836
1865,2837
1866,2838
1867,2839
1868,2840
1869,2841
1870,2842
1871,2843
1872,2844
1873,2845
1874,2846
1875,2847
1876,2848
1877,2849
1878,2850
1879,2851
1880,2852
1881,2853
1882,2854
1883,2855
1884,2856
1885,2857
1886,2858
1887,2859
1888,2860
1889,2861
1890,2862
1891,2863
1892,2864
1893,2865
1894,2866
1895,2867
1896,2868
1897,2869
1898,2870
1899,2871
1900,2872
1901,2873
1902,2874
1903,2875
1904,2876
1905,2877
1906,2878
1907,2879
1908,2880
1909,2881
1910,2882
1911,2883
1912,2884
1913,2885
1914,2886
1915,2887
1916,2888
1917,2889
1918,2890
1919,2891
1920,2892
1921,2893
1922,2894
1923,2895
1924,2896
1925,2897
1926,2898
1927,2899
1928,2900
1929,2901
1930,2902
1931,2903
1932,2904
1933,2905
1934,2906
1935,2907
1936,2908
1937,2909
1938,2910
1939,2911
1940,2912
1941,2913
1942,2914
1943,2915
1944,2916
1945,2917
1946,2918
1947,2919
1948,2920
1949,2921
1950,2922
1951,2923
1952,2924
1953,2925
1954,2926
1955,2927
1956,2928
1957,2929
1958,2930
1959,2931
1960,2932
1961,2933
1962,2934
1963,2935
1964,2936
1965,2937
1966,2938
1967,2939
1968,2940
1969,2941
1970,2942
1971,2943
1972,2944
1973,2945
1974,2946
1975,2947
1976,2948
1977,2949
1978,2950
1979,2951
1980,2952
1981,2953
1982,2954
1983,2955
1984,2956
1985,2957
1986,2958
1987,2959
1988,2960
1989,2961
1990,2962
1991,2963
1992,2964
1993,2965
1994,2966
1995,2967
1996,2968
1997,2969
1998,2970
1999,2971
2000,2972
2001,2973
2002,2974
2003,2975
2004,2976
2005,2977
2006,2978
2007,2979
2008,2980
2009,2981
2010,2982
2011,2983
2012,2984
2013,2985
2014,2986
2015,2987
2016,2988
2017,2989
2018,2990
2019,2991
2020,2992
2021,2993
2022,2994
2023,2995
2024,2996
2025,2997
2026,2998
2027,2999
2028,3000
2029,3001
2030,3002
2031,3003
2032,3004
2033,3005
2034,3006
2035,3007
2036,3008
2037,3009
2038,3010
2039,3011
2040,3012
2041,3013
2042,3014
2043,3015
2044,3016
2045,3017
2046,3018
2047,3019
2048,3020
2049,3021
2050,3022
2051,3023
2052,3024
2053,3025
2054,3026
2055,3027
2056,3028
2057,3030
2058,3031
2059,3033
2060,3034
2061,3035
2062,3036
2063,3037
2064,3040
2065,3041
2066,3042
2067,3043
2068,3044
2069,3045
2070,3046
2071,3047
2072,3048
2073,3049
2074,3050
2075,3051
2076,3052
2077,3053
2078,3054
2079,3055
2080,3056
2081,3057
2082,3058
2083,3059
2084,3060
2085,3061
2086,3062
2087,3063
2088,3064
2089,3065
2090,3066
2091,3067
2092,3068
2093,3069
2094,3070
2095,3071
2096,3072
2097,3073
2098,3074
2099,3075
2100,3076
2101,3077
2102,3078
2103,3079
2104,3080
2105,3081
2106,3082
2107,3083
2108,3084
2109,3085
2110,3086
2111,3087
2112,3088
2113,3089
2114,3090
2115,3091
2116,3092
2117,3093
2118,3094
2119,3095
2120,3096
2121,3097
2122,3098
2123,3099
2124,3100
2125,3101
2126,3102
2127,3103
2128,3104
2129,3105
2130,3106
2131,3107
2132,3108
2133,3109
2134,3110
2135,3111
2136,3112
2137,3113
2138,3114
2139,3115
2140,3116
2141,3117
2142,3118
2143,3119
2144,3120
2145,3121
2146,3122
2147,3123
2148,3124
2149,3125
2150,3126
2151,3127
2152,3128
2153,3129
2154,3130
2155,3131
2156,3132
2157,3133
2158,3134
2159,3135
2160,3136
2161,3137
2162,3138
2163,3139
2164,3140
2165,3141
2166,3142
2167,3143
2168,3144
2169,3145
2170,3146
2171,3147
2172,3148
2173,3149
2174,3150
2175,3151
2176,3152
2177,3153
2178,3154
2179,3155
2180,3156
2181,3157
2182,3158
2183,3159
2184,3160
2185,3161
2186,3162
2187,3163
2188,3164
2189,3165
2190,3166
2191,3167
2192,3168
2193,3169
2194,3170
2195,3171
2196,3172
2197,3173
2198,3174
2199,3175
2200,3176
2201,3177
2202,3178
2203,3179
2204,3180
2205,3181
2206,3182
2207,3183
2208,3184
2209,3185
2210,3186
2211,3187
2212,3188
2213,3189
2214,3190
2215,3191
2216,3192
2217,3193
2218,3194
2219,3195
2220,3196
2221,3197
2222,3198
2223,3199
2224,3200
2225,3201
2226,3202
2227,3203
2228,3204
2229,3205
2230,3206
2231,3207
2232,3208
2233,3209
2234,3210
2235,3211
2236,3212
2237,3213
2238,3214
2239,3215
2240,3216
2241,3217
2242,3218
2243,3219
2244,3220
2245,3221
2246,3222
2247,3223
2248,3224
2249,3225
2250,3226
2251,3227
2252,3228
2253,3229
2254,3230
2255,3231
2256,3232
2257,3233
2258,3234
2259,3235
2260,3236
2261,3237
2262,3238
2263,3239
2264,3240
2265,3241
2266,3242
2267,3277
2268,3278
2269,3279
2270,3280
2271,3281
2272,3282
2273,3283
2274,3284
2275,3285
2276,3286
2277,3287
2278,3316
2279,3317
2280,3318
2281,3319
2282,3320
2283,3321
2284,3322
2285,3323
2286,3324
2287,3325
2288,3326
2289,3327
2290,3328
2291,3329
2292,3330
2293,3331
2294,3332
2295,3335
2296,3336
2297,3337
2298,3338
2299,3339
2300,3340
2301,3341
2302,3342
2303,3343
2304,3344
2305,3345
2306,3346
2307,3347
2308,3348
2309,3349
2310,3350
2311,3351
2312,3353
2313,3354
2314,3355
2315,3356
2316,3357
2317,3358
2318,3359
2319,3360
2320,3361
2321,3362
2322,3363
2323,3364
2324,3365
2325,3366
2326,3367
2327,3368
2328,3369
2329,3370
2330,3371
2331,3372
2332,3373
2333,3374
2334,3375
2335,3376
2336,3377
2337,3378
2338,3379
2339,3380
2340,3381
2341,3384
2342,3385
2343,3386
2344,3387
2345,3388
2346,3389
2347,3390
2348,3391
2349,3392
2350,3393
2351,3394
2352,3395
2353,3396
2354,3397
2355,3398
2356,3399
2357,3400
2358,3401
2359,3402
2360,3403
2361,3404
2362,3405
2363,3406
2364,3407
2365,3408
2366,3409
2367,3410
2368,3411
2369,3412
2370,3413
2371,3414
2372,3415
2373,3416
2374,3417
2375,3418
2376,3419
2377,3420
2378,3421
2379,3422
2380,3423
2381,3424
2382,3425
2383,3426
2384,3427
2385,3428
2386,3429
2387,3430
2388,3431
2389,3432
2390,3433
2391,3434
2392,3435
2393,3436
2394,3437
2395,3438
2396,3439
2397,3440
2398,3441
2399,3442
2400,3443
2401,3444
2402,3445
2403,3446
2404,3447
2405,3448
2406,3449
2407,3450
2408,3451
2409,3452
2410,3453
2411,3454
2412,3455
2413,3456
2414,3457
2415,3458
2416,3459
2417,3460
2418,3461
2419,3462
2420,3463
2421,3464
2422,3465
2423,3466
2424,3467
2425,3468
2426,3469
2427,3470
2428,3471
2429,3472
2430,3473
2431,3474
2432,3475
2433,3476
2434,3477
2435,3478
2436,3479
2437,3480
2438,3481
2439,3482
2440,3483
2441,3484
2442,3485
2443,3486
2444,3487
2445,3488
2446,3489
2447,3490
2448,3491
2449,3492
2450,3493
2451,3494
2452,3495
2453,3496
2454,3497
2455,3498
2456,3499
2457,3500
2458,3501
2459,3502
2460,3503
2461,3504
2462,3505
2463,3506
2464,3507
2465,3508
2466,3513
2467,3514
2468,3515
2469,3516
2470,3517
2471,3518
2472,3519
2473,3520
2474,3521
2475,3522
2476,3523
2477,3524
2478,3525
2479,3526
2480,3527
2481,3528
2482,3529
2483,3530
2484,3531
2485,3532
2486,3533
2487,3534
2488,3535
2489,3536
2490,3537
2491,3538
2492,3539
2493,3540
2494,3541
2495,3542
2496,3543
2497,3544
2498,3545
2499,3546
2500,3547
2501,3548
2502,3549
2503,3550
2504,3551
2505,3552
2506,3553
2507,3554
2508,3555
2509,3556
2510,3557
2511,3558
2512,3559
2513,3563
